in,uit,rich,entry,exit,pnl,result,type,variant,versie
2025-05-14 11:00:00+00:00,2025-05-14 13:00:00+00:00,-1,3223.7,3182.55,1029.84,TP3,E_BOS,V16-Balanced,v16
2025-05-16 10:00:00+00:00,2025-05-16 11:00:00+00:00,-1,3179.0,3161.24,360.45,TP1,A_EMACROSS,V16-Balanced,v16
2025-05-16 10:00:00+00:00,2025-05-16 12:00:00+00:00,-1,3179.0,3178.41,28.04,SL,A_EMACROSS,V16-Balanced,v16
2025-05-16 13:00:00+00:00,2025-05-16 17:00:00+00:00,-1,3183.0,3194.94,-641.89,SL,C_MOMENTUM,V16-Balanced,v16
2025-05-22 07:00:00+00:00,2025-05-22 08:00:00+00:00,1,3328.3,3322.76,-502.93,SL,D_PULLBACK,V16-Balanced,v16
2025-05-23 11:00:00+00:00,2025-05-23 13:00:00+00:00,1,3348.3,3338.59,-638.68,SL,E_BOS,V16-Balanced,v16
2025-05-28 07:00:00+00:00,2025-05-28 11:00:00+00:00,1,3317.4,3309.21,-318.45,SL,E_BOS,V16-Balanced,v16
2025-05-29 07:00:00+00:00,2025-05-29 08:00:00+00:00,1,3310.7,3300.98,-318.0,SL,E_BOS,V16-Balanced,v16
2025-05-29 10:00:00+00:00,2025-05-29 11:00:00+00:00,1,3321.5,3310.95,-254.04,SL,E_BOS,V16-Balanced,v16
2025-06-04 14:00:00+00:00,2025-06-04 16:00:00+00:00,1,3401.5,3385.63,-317.2,SL,A_EMACROSS,V16-Balanced,v16
2025-06-05 09:00:00+00:00,2025-06-05 10:00:00+00:00,1,3413.5,3398.59,-253.41,SL,B_MACDCROSS,V16-Balanced,v16
2025-06-09 16:00:00+00:00,2025-06-09 18:00:00+00:00,1,3358.4,3343.25,-316.4,SL,A_EMACROSS,V16-Balanced,v16
2025-06-10 13:00:00+00:00,2025-06-10 14:00:00+00:00,1,3364.6,3349.77,-252.77,SL,E_BOS,V16-Balanced,v16
2025-06-11 07:00:00+00:00,2025-06-11 09:00:00+00:00,1,3366.6,3353.13,-252.48,SL,E_BOS,V16-Balanced,v16
2025-06-12 10:00:00+00:00,2025-06-12 12:00:00+00:00,1,3402.9,3388.17,-252.2,SL,B_MACDCROSS,V16-Balanced,v16
2025-06-12 13:00:00+00:00,2025-06-12 15:00:00+00:00,1,3412.8,3398.03,-251.92,SL,E_BOS,V16-Balanced,v16
2025-06-13 14:00:00+00:00,2025-06-13 15:00:00+00:00,1,3448.4,3434.07,-197.71,SL,D_PULLBACK,V16-Balanced,v16
2025-06-18 15:00:00+00:00,2025-06-18 18:00:00+00:00,1,3411.0,3401.4,-314.27,SL,A_EMACROSS,V16-Balanced,v16
2025-06-30 11:00:00+00:00,2025-06-30 12:00:00+00:00,-1,3289.2,3296.93,-197.26,SL,F_MSS,V16-Balanced,v16
2025-07-08 13:00:00+00:00,2025-07-08 14:00:00+00:00,-1,3324.6,3314.81,112.88,TP1,C_MOMENTUM,V16-Balanced,v16
2025-07-08 13:00:00+00:00,2025-07-08 14:00:00+00:00,-1,3324.6,3306.32,210.71,TP2,C_MOMENTUM,V16-Balanced,v16
2025-07-08 13:00:00+00:00,2025-07-09 02:00:00+00:00,-1,3324.6,3295.23,451.52,TP3,C_MOMENTUM,V16-Balanced,v16
