side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,atr,pnl,gross_pnl,exit_reason,bars_held,entry_date,month
short,2026-02-26 06:34:00,2026-02-26 06:47:00,2624.925248636758,2634.056104589506,2634.056104589506,2606.6635367312624,196.10025561331526,6.087237301831985,-1791.1631863022203,-1790.5631863022204,SL,13,2026-02-26,2026-02
short,2026-02-27 04:35:00,2026-02-27 04:56:00,2566.7675833986154,2579.639695510281,2579.639695510281,2541.023359175285,135.80364382512155,8.581408074443527,-1748.679728489655,-1748.079728489655,SL,21,2026-02-27,2026-02
short,2026-02-27 05:12:00,2026-02-27 05:42:00,2567.059797656897,2541.0524754668686,2580.063458751911,2541.0524754668686,133.08505339840542,8.669107396676122,3460.5858624094626,3461.1858624094625,TP,30,2026-02-27,2026-02
short,2026-03-02 03:00:00,2026-03-02 03:14:00,2525.720772107954,2540.3633419428293,2540.3633419428293,2496.435632438203,120.5525266216927,9.76171322325034,-1765.7987898287995,-1765.1987898287996,SL,14,2026-03-02,2026-03
long,2026-03-02 05:05:00,2026-03-02 05:11:00,2558.7131100424294,2547.358996241521,2547.358996241521,2581.4213376442463,153.91256707244858,7.569409200605635,-1748.1408019305643,-1747.5408019305644,SL,6,2026-03-02,2026-03
short,2026-03-02 06:58:00,2026-03-02 07:15:00,2536.8375421819433,2550.6410362511087,2550.6410362511087,2509.2305540436123,125.33488877833352,9.202329379443592,-1730.659393911242,-1730.059393911242,SL,17,2026-03-02,2026-03
short,2026-03-03 03:25:00,2026-03-03 04:39:00,2520.4177032234074,2487.038054124439,2537.107527772892,2487.038054124439,102.62257670198444,11.126549699656216,3424.9055999442166,3425.5055999442166,TP,74,2026-03-03,2026-03
short,2026-03-03 03:34:00,2026-03-03 04:39:00,2518.680614284864,2487.1077891617488,2534.467026846422,2487.1077891617488,108.49537811668031,10.524275041038488,3424.905599944219,3425.505599944219,TP,65,2026-03-03,2026-03
short,2026-03-04 08:33:00,2026-03-05 03:11:00,2445.1599595893586,2461.237611545663,2461.237611545663,2413.0046556767493,110.79048836310392,10.718434637536413,-1781.8509119710036,-1781.2509119710037,SL,68,2026-03-04,2026-03
short,2026-03-05 03:57:00,2026-03-05 05:01:00,2423.8621642963158,2436.3267891507794,2436.3267891507794,2398.932914587388,141.47496803482017,8.30974990297587,-1764.0324028512678,-1763.4324028512679,SL,64,2026-03-05,2026-03
short,2026-03-05 04:10:00,2026-03-05 05:33:00,2425.772581868358,2401.489085240361,2437.9143301823565,2401.489085240361,145.23710731330158,8.09449887599897,3526.264805702599,3526.864805702599,TP,83,2026-03-05,2026-03
long,2026-03-06 04:47:00,2026-03-06 04:58:00,2428.493128006682,2417.332488519683,2417.332488519683,2450.8144069806804,159.58357305193255,7.440426324666072,-1781.6547268798063,-1781.0547268798064,SL,11,2026-03-06,2026-03
short,2026-03-09 06:47:00,2026-03-09 07:57:00,2438.9712558822,2449.6600808091684,2449.6600808091684,2417.5936060282625,164.96089997341468,7.125883284645727,-1763.838179611019,-1763.2381796110192,SL,70,2026-03-09,2026-03
long,2026-03-10 07:18:00,2026-03-10 07:35:00,2473.399632956762,2463.7201387717487,2463.7201387717487,2492.7586213267887,180.33998104132397,6.452996123342174,-1746.1997978149368,-1745.599797814937,SL,17,2026-03-10,2026-03
long,2026-03-10 07:54:00,2026-03-10 08:06:00,2473.0210528526586,2496.2510278592454,2461.4060653493652,2496.2510278592454,148.78516221793132,7.743325002195574,3455.6755996735005,3456.2755996735004,TP,12,2026-03-10,2026-03
long,2026-03-11 03:21:00,2026-03-11 03:43:00,2504.917487380615,2493.336933563233,2493.336933563233,2528.078595015379,152.21159399024052,7.720369211588016,-1763.294555833513,-1762.694555833513,SL,22,2026-03-11,2026-03
long,2026-03-11 04:46:00,2026-03-11 04:47:00,2505.5642374367603,2496.82097474285,2496.82097474285,2523.050762824581,199.58929193452744,5.828841795940273,-1745.6616102751277,-1745.0616102751278,SL,1,2026-03-11,2026-03
long,2026-03-12 05:24:00,2026-03-12 05:53:00,2517.142789299268,2537.9496761827486,2506.7393458575275,2537.9496761827486,166.060882038438,6.935628961160196,3454.609988344816,3455.209988344816,TP,29,2026-03-12,2026-03
long,2026-03-13 06:24:00,2026-03-13 06:37:00,2617.0716379176633,2634.778196890439,2608.218358431275,2634.778196890439,199.03936126326673,5.90218632425865,3523.702188111667,3524.302188111667,TP,13,2026-03-13,2026-03
long,2026-03-16 04:11:00,2026-03-16 04:35:00,2692.0664029173277,2718.0003320920023,2679.0994383299903,2718.0003320920023,138.61286531870064,8.64464305822494,3594.176231873896,3594.776231873896,TP,24,2026-03-16,2026-03
long,2026-03-17 03:55:00,2026-03-17 04:08:00,2748.672128121983,2737.774089411764,2737.774089411764,2770.468205542421,168.22567133447762,7.265359140145938,-1833.9298782556773,-1833.3298782556774,SL,13,2026-03-17,2026-03
long,2026-03-17 04:09:00,2026-03-17 04:57:00,2749.8184425316404,2737.819125616318,2737.819125616318,2773.817076362285,151.25782511465422,7.9995446102149135,-1815.590579473117,-1814.9905794731171,SL,48,2026-03-17,2026-03
long,2026-03-17 06:20:00,2026-03-17 07:03:00,2779.9161571025506,2798.9052601857716,2770.4216055609404,2798.9052601857716,189.24903043642257,6.329701027740275,3593.0693473568426,3593.6693473568425,TP,43,2026-03-17,2026-03
long,2026-03-17 07:46:00,2026-03-17 08:25:00,2788.870882637457,2775.8553737810466,2775.8553737810466,2814.901900350277,140.81396181827603,8.677005904273472,-1833.3653671519762,-1832.7653671519763,SL,39,2026-03-17,2026-03
long,2026-03-17 09:17:00,2026-03-17 09:27:00,2792.9569529441073,2775.1023998557025,2775.1023998557025,2828.666059120917,101.62291402627164,11.903035392269846,-1815.0317134804666,-1814.4317134804667,SL,10,2026-03-17,2026-03
long,2026-03-18 07:45:00,2026-03-18 08:21:00,2825.0857046820433,2813.8203203794114,2813.8203203794114,2847.6164732873067,159.45140867728904,7.510256201754518,-1796.881396345676,-1796.281396345676,SL,36,2026-03-18,2026-03
long,2026-03-19 07:48:00,2026-03-19 08:27:00,2837.1205470344903,2867.5368421642293,2821.9123994696206,2867.5368421642293,116.93157071213983,10.138765043246357,3556.025164764385,3556.625164764385,TP,39,2026-03-19,2026-03
long,2026-03-23 05:03:00,2026-03-23 06:07:00,2867.678459476552,2855.4332037559893,2855.4332037559893,2892.1689709176762,148.1286202119882,8.163503813708175,-1814.4728340298716,-1813.8728340298717,SL,64,2026-03-23,2026-03
long,2026-03-23 06:16:00,2026-03-23 07:13:00,2867.9783021835788,2893.5041836525643,2855.215361449086,2893.5041836525643,140.6986166469033,8.508627156328512,3590.8562113790863,3591.456211379086,TP,57,2026-03-23,2026-03
long,2026-03-23 06:37:00,2026-03-23 07:19:00,2871.6025629409387,2899.684318893007,2857.5616849649045,2899.684318893007,127.8928645882841,9.360585317356039,3590.856211379113,3591.456211379113,TP,42,2026-03-23,2026-03
short,2026-03-30 08:10:00,2026-03-30 08:16:00,2966.3985469706413,2981.4940328587604,2981.4940328587604,2936.207575194403,123.71547651784944,10.063657258746067,-1868.1452299171294,-1867.5452299171295,SL,6,2026-03-30,2026-03
long,2026-04-01 08:01:00,2026-04-01 09:19:00,2901.686400653714,2885.73092977847,2885.73092977847,2933.5973424042013,115.87647848655021,10.636980583495799,-1849.4637776179802,-1848.8637776179803,SL,78,2026-04-01,2026-04
long,2026-04-02 03:23:00,2026-04-02 03:29:00,2908.4269143282872,2895.9404535975814,2895.9404535975814,2933.399835789699,146.58830707252935,8.324307153803838,-1830.9691398417892,-1830.3691398417893,SL,6,2026-04-02,2026-04
short,2026-04-02 04:34:00,2026-04-02 04:41:00,2885.675993193814,2899.0734412760244,2899.0734412760244,2858.8810970293935,135.25407505400162,8.931632054806842,-1812.6594484433624,-1812.0594484433625,SL,7,2026-04-02,2026-04
short,2026-04-02 05:22:00,2026-04-02 05:28:00,2865.8837233893014,2876.526446771426,2876.526446771426,2844.598276625052,168.5595678425694,7.09514892141637,-1794.5328539589289,-1793.932853958929,SL,6,2026-04-02,2026-04
short,2026-04-03 05:47:00,2026-04-03 05:55:00,2746.3294239999195,2756.1990451570628,2756.1990451570628,2726.5901816856335,179.94485270936474,6.579747438095359,-1776.5875254193681,-1775.9875254193682,SL,8,2026-04-03,2026-04
short,2026-04-03 06:08:00,2026-04-03 06:33:00,2747.3439019368684,2732.306321522189,2754.8626921442083,2732.306321522189,233.84369049808095,5.012526804893116,3515.843300330263,3516.443300330263,TP,25,2026-04-03,2026-04
long,2026-04-06 04:55:00,2026-04-06 05:28:00,2745.1818699007194,2732.740510027384,2732.740510027384,2770.06458964739,144.1466287790655,8.29423991555695,-1793.9800831684374,-1793.3800831684375,SL,33,2026-04-06,2026-04
short,2026-04-06 07:35:00,2026-04-06 08:19:00,2718.07113131939,2694.696680102317,2729.758356927927,2694.696680102317,151.9128954813643,7.791483739024461,3550.280564673509,3550.880564673509,TP,44,2026-04-06,2026-04
short,2026-04-07 06:04:00,2026-04-07 06:28:00,2685.7356995601313,2664.1327537819943,2696.5371724491997,2664.1327537819943,167.65705071724545,7.200981926045605,3621.2861759670063,3621.8861759670062,TP,24,2026-04-07,2026-04
short,2026-04-14 05:04:00,2026-04-14 05:06:00,2361.935926883205,2371.135615709305,2371.135615709305,2343.5365492310043,200.7846118123733,6.133125884066823,-1847.7559497431369,-1847.155949743137,SL,2,2026-04-14,2026-04
short,2026-04-15 05:04:00,2026-04-15 05:52:00,2354.3748510548917,2332.9320197510315,2365.096266706822,2332.9320197510315,170.5631466602561,7.14761043462012,3656.756780491439,3657.3567804914387,TP,48,2026-04-15,2026-04
short,2026-04-15 05:19:00,2026-04-15 05:52:00,2354.4182137642624,2333.8084572642374,2364.7230920142747,2333.8084572642374,177.4575444638096,6.869918833341648,3656.756780491478,3657.356780491478,TP,33,2026-04-15,2026-04
long,2026-04-20 09:08:00,2026-04-21 03:23:00,2455.398783080036,2445.451636849337,2445.451636849337,2475.293075541435,191.19187370404757,6.631430820466229,-1902.4135258555375,-1901.8135258555376,SL,45,2026-04-20,2026-04
long,2026-04-21 04:49:00,2026-04-21 05:13:00,2473.6224970383164,2500.0892122999553,2460.3891394074967,2500.0892122999553,142.27601513709004,8.822238420546356,3764.9787811939896,3765.5787811939895,TP,24,2026-04-21,2026-04
long,2026-04-22 05:12:00,2026-04-22 06:07:00,2513.912709624527,2530.5926148949334,2505.572756989324,2530.5926148949334,230.26979437541712,5.559968423468763,3840.2783568179134,3840.8783568179133,TP,55,2026-04-22,2026-04
long,2026-04-27 07:07:00,2026-04-27 08:20:00,2629.4784885845233,2654.2513324068836,2617.092066673343,2654.2513324068836,158.14429510180383,8.257614607453442,3917.0839239542456,3917.6839239542455,TP,73,2026-04-27,2026-04
long,2026-04-28 05:01:00,2026-04-28 06:31:00,2663.0122968489454,2677.448477780275,2651.9652645729843,2685.1063614008676,180.8642132389205,7.364688183974073,2610.3885063196253,2610.9885063196252,Timeout,90,2026-04-28,2026-04
long,2026-04-28 06:03:00,2026-04-28 06:51:00,2674.383937515872,2665.176692698898,2665.176692698898,2692.79842714982,217.00441781815596,6.138163211315971,-1998.612801216633,-1998.012801216633,SL,48,2026-04-28,2026-04
long,2026-05-04 09:24:00,2026-05-05 03:16:00,2815.234658307768,2848.6799650434855,2798.512004939909,2848.6799650434855,119.84524908706501,11.148435578572608,4007.661116535372,4008.261116535372,TP,22,2026-05-04,2026-05
short,2026-05-06 04:57:00,2026-05-06 05:17:00,2854.78594087651,2865.4207114255582,2865.4207114255582,2833.516399778413,192.21920773983845,7.089847032698938,-2044.8071694330552,-2044.2071694330552,SL,20,2026-05-06,2026-05
long,2026-05-06 07:57:00,2026-05-06 09:01:00,2873.326412367474,2862.3212715113027,2862.3212715113027,2895.3366940798164,183.89215769136598,7.336760570780772,-2024.3590977387355,-2023.7590977387356,SL,64,2026-05-06,2026-05
long,2026-05-07 07:12:00,2026-05-07 07:17:00,2960.633233017278,2952.856809294724,2952.856809294724,2976.186080462386,257.6397040905214,5.184282481702693,-2004.1155067613818,-2003.5155067613819,SL,5,2026-05-07,2026-05
long,2026-05-07 07:35:00,2026-05-07 07:40:00,2961.103455528755,2951.1217113723596,2951.1217113723596,2981.0669438415466,198.71019739800096,6.6544961042637585,-1984.0743516936936,-1983.4743516936937,SL,5,2026-05-07,2026-05
long,2026-05-07 08:28:00,2026-05-07 08:31:00,2960.6986167252094,2946.702481595018,2946.702481595018,2988.690886985592,140.29827448157437,9.330756753460857,-1964.2336081767853,-1963.6336081767854,SL,3,2026-05-07,2026-05
long,2026-05-08 04:32:00,2026-05-08 04:54:00,2963.0027699301663,2983.3041279841123,2952.852090903193,2983.3041279841123,191.51342160749135,6.767119351315384,3887.3825441899876,3887.9825441899875,TP,22,2026-05-08,2026-05
